REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
12/1/1982,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.34,,,,2
1/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.05,,,,2
2/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.6,,,,2
3/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.45,,,,2
4/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.26,,,,2
5/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.16,,,,2
6/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.98,,,,2
7/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.08,,,,2
8/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.57,,,,2
9/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.88,,,,2
10/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.1,,,,2
11/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.84,,,,2
12/1/1983,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.55,,,,2
1/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.55,,,,2
2/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.52,,,,2
3/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.82,,,,2
4/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.51,,,,2
5/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.26,,,,2
6/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.53,,,,2
7/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.96,,,,2
8/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,14.45,,,,2
9/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.99,,,,2
10/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.72,,,,2
11/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.25,,,,2
12/1/1984,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.74,,,,2
1/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.44,,,,2
2/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.57,,,,2
3/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,13.43,,,,2
4/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.77,,,,2
5/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,12.38,,,,2
6/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.89,,,,2
7/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.75,,,,2
8/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.77,,,,2
9/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.85,,,,2
10/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.96,,,,2
11/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.75,,,,2
12/1/1985,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.61,,,,2
1/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.67,,,,2
2/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.94,,,,2
3/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.66,,,,2
4/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.12,,,,2
5/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.6,,,,2
6/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.87,,,,2
7/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.06,,,,2
8/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11,,,,2
9/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.1,,,,2
10/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.25,,,,2
11/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.25,,,,2
12/1/1986,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.17,,,,2
1/1/1987,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.85,,,,2
2/1/1987,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.46,,,,2
3/1/1987,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.2,,,,2
4/1/1987,Canada,2016A000011124,Percent,239,units,0,v733833,1,10.39,,,,2
5/1/1987,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.04,,,,2
6/1/1987,Canada,2016A000011124,Percent,239,units,0,v733833,1,11.26,,,,2
