REF_DATE,GEO,DGUID,Structural type of dwelling,Coordinate,Total - Household,Number of persons in private households,Average household size
2021,"Truro (CA), N.S.",2021S0504215,Total - Structural type of dwelling,15.1,20700,45330,2.2
2021,"Truro (CA), N.S.",2021S0504215,Single-detached house,15.2,13720,32870,2.4
2021,"Truro (CA), N.S.",2021S0504215,Semi-detached house,15.3,655,1465,2.2
2021,"Truro (CA), N.S.",2021S0504215,Row house,15.4,230,420,1.8
2021,"Truro (CA), N.S.",2021S0504215,Apartment or flat in a duplex,15.5,1050,2155,2.0
2021,"Truro (CA), N.S.",2021S0504215,Apartment in a building that has fewer than five storeys,15.6,3720,5825,1.6
2021,"Truro (CA), N.S.",2021S0504215,Apartment in a building that has five or more storeys,15.7,5,10,2.0
2021,"Truro (CA), N.S.",2021S0504215,Other single-attached house,15.8,65,115,1.9
2021,"Truro (CA), N.S.",2021S0504215,Movable dwelling,15.9,1255,2470,2.0
2021,New Brunswick,2021A000213,Total - Structural type of dwelling,16.1,337655,759195,2.3
2021,New Brunswick,2021A000213,Single-detached house,16.2,228950,554055,2.4
2021,New Brunswick,2021A000213,Semi-detached house,16.3,13490,32310,2.4
2021,New Brunswick,2021A000213,Row house,16.4,9740,18840,1.9
2021,New Brunswick,2021A000213,Apartment or flat in a duplex,16.5,13890,30335,2.2
2021,New Brunswick,2021A000213,Apartment in a building that has fewer than five storeys,16.6,51985,86400,1.7
2021,New Brunswick,2021A000213,Apartment in a building that has five or more storeys,16.7,4260,6100,1.4
2021,New Brunswick,2021A000213,Other single-attached house,16.8,1140,2360,2.1
2021,New Brunswick,2021A000213,Movable dwelling,16.9,14195,28795,2.0
2021,"Bathurst (CA), N.B.",2021S0504328,Total - Structural type of dwelling,17.1,14395,30545,2.1
2021,"Bathurst (CA), N.B.",2021S0504328,Single-detached house,17.2,10295,23460,2.3
2021,"Bathurst (CA), N.B.",2021S0504328,Semi-detached house,17.3,510,1090,2.1
2021,"Bathurst (CA), N.B.",2021S0504328,Row house,17.4,775,1240,1.6
2021,"Bathurst (CA), N.B.",2021S0504328,Apartment or flat in a duplex,17.5,825,1720,2.1
2021,"Bathurst (CA), N.B.",2021S0504328,Apartment in a building that has fewer than five storeys,17.6,1590,2255,1.4
2021,"Bathurst (CA), N.B.",2021S0504328,Apartment in a building that has five or more storeys,17.7,0,5,0.0
2021,"Bathurst (CA), N.B.",2021S0504328,Other single-attached house,17.8,85,195,2.3
2021,"Bathurst (CA), N.B.",2021S0504328,Movable dwelling,17.9,310,570,1.8
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Total - Structural type of dwelling,18.1,6130,12655,2.1
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Single-detached house,18.2,3975,9020,2.3
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Semi-detached house,18.3,165,365,2.2
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Row house,18.4,255,520,2.0
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Apartment or flat in a duplex,18.5,325,620,1.9
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Apartment in a building that has fewer than five storeys,18.6,1170,1700,1.5
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Apartment in a building that has five or more storeys,18.7,0,0,0.0
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Other single-attached house,18.8,95,185,1.9
2021,"Campbellton (CA), N.B./Que.",2021S0504330,Movable dwelling,18.9,140,255,1.8
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Total - Structural type of dwelling,19.1,5490,11335,2.1
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Single-detached house,19.2,3525,8000,2.3
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Semi-detached house,19.3,135,300,2.2
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Row house,19.4,250,505,2.0
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Apartment or flat in a duplex,19.5,315,600,1.9
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Apartment in a building that has fewer than five storeys,19.6,1035,1500,1.5
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Apartment in a building that has five or more storeys,19.7,0,0,0.0
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Other single-attached house,19.8,90,180,1.9
2021,"Campbellton (New Brunswick part) (CA), N.B.",2021S050613330,Movable dwelling,19.9,140,250,1.8
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Total - Structural type of dwelling,20.1,645,1320,2.1
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Single-detached house,20.2,450,1020,2.3
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Semi-detached house,20.3,35,60,2.0
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Row house,20.4,5,10,1.8
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Apartment or flat in a duplex,20.5,15,20,1.5
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Apartment in a building that has fewer than five storeys,20.6,135,195,1.5
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Apartment in a building that has five or more storeys,20.7,0,0,0.0
2021,"Campbellton (Quebec part) (CA), Que.",2021S050624330,Other single-attached house,20.8,5,5,
