Unnamed: 0,year,total_dwelling,single_detached,total_dwelling_market,homeownership_freehold,rental,homeownership_condo,other,completed,res_building_permit,res_building_permit_amount,completed_but_unabsorbed_homes,new_single_and_semi_detached,new_rows_and_apartment,rental_vacancy_rate,rental_avilability_rate,vacancy_rate_seniors,vacancy_rate_condo,HPI_change,CPI_change,owned_accommodation_costs_change,rental_accommodation_costs_change,bachelor,one_bedroom,two_bedroom,three_bedroom,population,labour_participation_rate,employment_change,unemployment_rate,disposable_income_change,migration,Mortgage Rate,attached,multi_unit,region_0,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11,region_12,region_13,region_14,region_15,region_16,region_17,region_18,region_19,region_20,region_21,region_22,region_23,region_24,region_25,region_26,region_27,region_28,region_29,region_30,region_31,region_32,region_33
6,1996.0,-0.3650144336903477,1472,-0.3519464227432957,1956,6,680,0,-0.38235608832447066,-0.3764976832409124,-0.38352279424801483,-0.42575843845389705,-0.35313135998254197,-0.4296817499973622,2.2,5.4,17.0,-0.763825237,3.150301781,1.516314779,0.76265453,0.544217687,389,506,625,789,-0.2913295150390961,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,14.79,1308,1032,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1997.0,-0.29107980003446077,2239,-0.27235323353861735,2712,28,958,0,-0.31012048702810074,-0.29860946047409137,-0.3436921518321854,-0.4382438597033142,-0.407126391052054,-0.4146246234263016,3.1,5.4,17.0,3.925492611,3.150301781,1.881262999,0.76265453,0.544217687,405,520,636,808,-0.28807291223942716,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,14.34,1613,1305,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1998.0,-0.29605078392609707,1736,-0.2777046695552198,2573,79,975,0,-0.3237926099455311,-0.30373013947952254,-0.3378329369324519,-0.4578638073809697,-0.4697606270926879,-0.40504281560835387,3.2,5.4,17.0,3.169900755,3.150301781,0.927902014,0.76265453,0.544217687,403,539,662,821,-0.2851283838920946,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,14.05,2079,1703,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1999.0,-0.2753266820680076,1906,-0.255394457429666,2366,8,1549,0,-0.3070497428434373,-0.2787331406503784,-0.3223617816201299,-0.3062551207809043,-0.3380127512830786,-0.25584037958602573,1.9,5.4,17.0,1.033740129,3.150301781,1.939873127,0.76265453,0.544217687,423,563,698,860,-0.2821850542942589,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,13.6,2205,1829,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2000.0,-0.33238797603538245,1884,-0.3168229131132009,2412,15,681,0,-0.2651560186098138,-0.34213523202025603,-0.34537161668821154,-0.07259938025609752,-0.2084246767162498,0.020663217446178717,1.7,5.4,17.0,2.501065795,5.266162409,2.94011544,0.76265453,0.544217687,460,582,719,864,-0.2785772178920245,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,13.45,1358,1090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2001.0,-0.3143944146248115,1842,-0.29745222217986533,2303,0,1053,9,-0.31925960662531355,-0.3248192516992587,-0.33172768803149877,-0.00838864240195215,0.06371027987409068,-0.053253585720846236,1.3,5.4,17.0,2.024123111,5.680585683,3.057648502,0.76265453,0.544217687,453,608,740,913,-0.2697775974191032,0.09395647201216159,-0.7706184400130397,-0.5187249105150258,1.1328523679066484,-0.19125299130665815,13.26,1645,1401,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2002.0,-0.2837283449834493,2259,-0.26443913802110675,2946,98,753,6,-0.29462054019122785,-0.2854708761838405,-0.2917535257816246,-0.28306790988912955,-0.17386785683176212,-0.32428186399993775,1.6,5.4,17.0,4.348416904,8.017960231,2.014792145,0.76265453,0.544217687,476,627,765,952,-0.26659971250305814,-0.11318485927992888,-0.7706184400130397,-0.21466890221406776,1.1328523679066484,-0.19125299130665815,13.16,1639,1449,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2003.0,-0.32174586967582297,1743,-0.305366317697376,2401,13,831,15,-0.3178704604465372,-0.330613704258036,-0.31182509272019887,-0.48729372889745304,-0.4891988382777122,-0.4378947281270316,3.0,5.4,17.0,6.263836437,6.175771971,2.65,0.76265453,0.544217687,498,633,778,946,-0.2638134190893046,0.3787758025387855,1.3799113298813706,-0.4680489091315326,1.1328523679066484,-0.22728309173642164,12.98,1617,1417,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2004.0,-0.2634243262711318,1995,-0.24258115992512497,2672,217,1204,0,-0.32298836742097636,-0.2798111783357324,-0.2636473226164414,-0.44270293872096317,-0.4999978444916146,-0.36260909527172847,3.4,5.4,17.0,5.367647059,6.92393736,1.883422634,0.76265453,0.544217687,509,641,789,967,-0.26135957886933325,0.6377024666538995,0.34433289813959267,-0.41737290774803976,1.1328523679066484,-0.2799945782641015,13.08,2256,1940,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2005.0,-0.32979746330312126,1502,-0.3140341365975067,2129,265,751,0,-0.35157553352105797,-0.31983332740449677,-0.2777408996202107,-0.4935364395221616,-0.5021576457343951,-0.4392635578153099,4.3,7.3,17.0,5.664107932,8.034313213,2.199203187,0.76265453,0.544217687,493,646,791,961,-0.2593840396985893,-0.08729219286841895,-1.494114778620897,-0.7721049174324905,1.1328523679066484,-0.33067381470878643,13.57,1847,1439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
