Unnamed: 0,year,total_dwelling,single_detached,total_dwelling_market,homeownership_freehold,rental,homeownership_condo,other,completed,res_building_permit,res_building_permit_amount,completed_but_unabsorbed_homes,new_single_and_semi_detached,new_rows_and_apartment,rental_vacancy_rate,rental_avilability_rate,vacancy_rate_seniors,vacancy_rate_condo,HPI_change,CPI_change,owned_accommodation_costs_change,rental_accommodation_costs_change,bachelor,one_bedroom,two_bedroom,three_bedroom,population,labour_participation_rate,employment_change,unemployment_rate,disposable_income_change,migration,region,Mortgage Rate,attached,multi_unit
6,1996.0,-0.3594133250800532,2173,-0.4296553034914239,1279,318,14,0,-0.3699268856722612,-0.3622136839099729,-0.410555780132016,-0.4926446237186318,-0.4179253972659564,-0.491279085969883,6.7,6.4,6.4,-1.031237485,1.481552284,-1.751956973,-0.360312857,0.976389135,352,407,490,525,-0.2445255396856214,-2.1198665061720643,-0.8523698717075046,2.268455165577087,-2.5885083896493297,-0.4868607012956225,6,8.68,687,411
7,1997.0,-0.3608136022326269,2125,-0.4284493460792318,1248,373,5,1,-0.333882197980854,-0.3653804196107,-0.4090679107194683,-0.478375570862155,-0.3963273848381515,-0.4830661078402135,6.6,6.4,6.4,-3.237228123,1.88377131,-1.751956973,-0.405715294,0.861462729,354,409,499,544,-0.2444284409763797,-1.800523621293179,-0.0678932090045601,2.775215179412017,-2.044627648908147,-0.5208585516423911,6,8.58,683,471
8,1998.0,-0.3786671359279404,1989,-0.4293538141383758,1338,264,12,1,-0.3860117361633557,-0.3716465136568197,-0.4095073076498072,-0.4641065180056783,-0.3855283786242491,-0.4680089812691529,6.1,6.4,6.4,-2.258233142,0.545437737,-1.751956973,-0.283386468,0.705943873,351,414,503,543,-0.2452200152274403,-1.6084863445447135,0.1700210984586184,2.5725111738780444,0.0739987289816472,-0.6077795812338183,6,8.57,564,352
9,1999.0,-0.3556325767681044,2201,-0.4114151976320184,1380,360,58,55,-0.3863773009472442,-0.3493446090410604,-0.3993113899814505,-0.5506126509480685,-0.5323948631333218,-0.5077050422292219,4.3,6.4,6.4,0.438549577,1.627436558,3.262872629,0.888099467,0.54521852,362,420,510,545,-0.2451916448226825,-1.552385566456683,0.6019997074872214,1.5589911462081854,0.4775539074524246,-0.5090460980349834,6,8.55,709,441
10,2000.0,-0.3344183779066141,2442,-0.4016167936579576,1335,537,41,70,-0.3618844604267139,-0.3762281738195739,-0.4016731042948815,-0.5060218607715787,-0.4848792357921512,-0.4693778109574311,3.1,6.4,6.4,-0.244941427,3.257034289,4.450976275,2.658450704,0.740230677,377,423,515,558,-0.2452252098085932,-1.3603482922974846,0.1002930796938509,1.4576391434411995,-2.001614381437128,-0.5165823587594227,6,7.84,750,524
11,2001.0,-0.3076030704348294,2573,-0.3852609962551023,1411,669,116,4,-0.3218916730693108,-0.357564646391884,-0.3947184017948902,-0.5078054923786384,-0.5129566519482975,-0.4543206843863705,4.1,6.4,6.4,0.074730437,1.726101814,1.346733668,1.972217458,1.136363636,365,432,530,571,-0.2455041188581845,-1.282670293062951,-0.8311046506861275,2.015075158659622,-0.3075744137895576,-0.5305117395366168,6,7.71,1003,775
12,2002.0,-0.2795975273833571,2769,-0.3515695610519856,1640,966,16,25,-0.3269364670869722,-0.3041344036115302,-0.3673404027137764,-0.496211886932751,-0.5237556581621999,-0.4296817499973622,4.2,6.4,6.4,2.101557499,3.367786391,-1.155295518,0.899764548,1.368590014,393,443,543,591,-0.24567993545105,-0.9201729633017918,0.8396680198043843,1.5083151448246923,-1.186859539172444,-0.5195460567971236,6,7.33,1279,907
13,2003.0,-0.2356988386501742,3139,-0.3246616362924495,2015,937,0,52,-0.261427257814151,-0.2887723665952368,-0.3552801411913506,-0.5390190455021813,-0.564791881775029,-0.4693778109574311,4.3,6.4,6.4,2.883711211,3.383051412,1.851015801,1.50012501,1.216768064,388,453,556,592,-0.2456579583769418,-0.9762737388005558,-0.6577708524686142,1.5589911462081854,-2.0715770865523147,-0.4992658945105704,6,7.2,1604,1096
14,2004.0,-0.2736463494849192,2970,-0.3519464227432957,1966,636,40,0,-0.1782247130011257,-0.2800806877570708,-0.3366225627655325,-0.5657735196080752,-0.5755908879889314,-0.5035985531643872,5.3,6.4,6.4,2.041230832,1.426614008,1.364263199,1.839231464,1.070399341,411,465,576,634,-0.2456683475392475,-0.7993405191849825,0.129643346947677,1.356287140674214,-0.6833474743932278,-0.4932114828049815,6,7.89,1270,684
15,2005.0,-0.2728061831933751,2665,-0.3499113696102215,1927,611,131,0,-0.2818257727551299,-0.2798785556910669,-0.3378000616995303,-0.5550717299657176,-0.5885496954456143,-0.4789596187753788,5.0,6.4,6.4,4.020700637,2.423712651,-3.07079345,2.700959445,0.887983707,402,476,586,663,-0.2462133789771308,-0.9309615725804096,-0.8167366110773817,1.3056111392907204,-2.080429407191924,-0.5491830371741323,6,9.43,1685,903
16,2006.0,-0.2639844371321613,2445,-0.3346107849430343,2037,648,185,2,-0.2916960219201198,-0.2780593670970322,-0.3341689391987724,-0.4320011490786056,-0.2753785152424447,-0.4885414265933265,6.0,6.7,6.4,3.339073861,1.675847622,5.303523986,2.873292511,0.855943152,411,496,609,690,-0.2471863639853754,-0.922330684639662,-0.1631537909838893,0.798851125455791,0.4918053455327104,-0.6042654821319728,6,9.48,2122,1158
17,2007.0,-0.2529922614844584,2733,-0.3249631256454975,2278,597,125,0,-0.2582834006727098,-0.2717932730509125,-0.3104899340670288,-0.4248666226503672,-0.3012961301558104,-0.4611648328277617,5.3,6.1,6.4,0.907323396,1.877146127,7.464178607,2.205433455,0.696557246,436,510,619,705,-0.2472670797848273,-0.8403372401401195,0.1994637019667629,0.1907391088538758,0.7485094102890859,-0.5207315360122039,6,9.8,2039,979
18,2008.0,-0.2507518180403406,2519,-0.3144109982888167,2349,686,105,0,-0.2659602611343685,-0.2587894434713308,-0.3040364904948095,-0.3356850422973875,-0.182507061802884,-0.3995674968552409,3.6,4.0,6.4,2.504816956,1.700247172,4.815060908,2.837303069,1.081338952,439,525,635,737,-0.2466884833610334,-0.579252854687137,-0.2789601619734213,0.6974991226888053,1.2739301479026546,-0.4455806214847889,6,10.69,2339,1171
19,2009.0,-0.3034722528347373,2154,-0.3536046141850598,1829,611,180,0,-0.2842385003287941,-0.2881659703972252,-0.3102534444882704,-0.3285505158691492,-0.1954658692595669,-0.3804038812193455,3.8,4.2,6.4,3.258145363,0.338783326,1.32702223,2.461337399,1.164162668,455,543,656,761,-0.245450175130828,-0.6892966869360597,-0.709806624536198,0.798851125455791,0.2297723170631365,-0.3877038326628304,6,10.33,1816,918
20,2010.0,-0.2628642154101024,2068,-0.3287317425585978,1901,889,160,0,-0.3197713973227574,-0.2842580837878173,-0.3132528676209544,-0.4542965441668505,-0.3790489748959077,-0.457058343762927,4.5,5.2,6.2,1.525658807,2.121256606,3.820487154,0.340136054,1.275173004,455,554,668,799,-0.244215463149113,-0.7756055741113409,-0.8462759274602841,1.0522311323732556,0.4041523186801916,-0.3877038326628304,6,10.01,2508,1558
